external_key,date,delivery_provider_name,product_name,quantity,cost_price_unit,sale_price_unit,answered_by,shipped_by,received_at,expense_total,listing_url,listing_id,listing_title,contact_channel
AVITO-20260210-001,2026-02-10,Почта России,Крепление BoboVR S3 PRO,1,5271,6944,Эрика,Ярослав Е,2026-02-14,400,,AVITO-20260210-001,Крепление BoboVR S3 PRO,Avito
AVITO-20260212-001,2026-02-12,Яндекс Доставка,Крепление BoboVR P4U,1,5037,7531,Эрика,Ярослав Е,2026-02-14,400,,AVITO-20260212-001,Крепление BoboVR P4U,Avito
AVITO-20260212-002,2026-02-12,Яндекс Доставка,"Крепление ""Монстр""",1,1656,2976,Эрика,Ярослав Е,2026-02-15,400,,AVITO-20260212-002,"Крепление ""Монстр""",Avito
AVITO-20260212-003,2026-02-12,Авито,Крепление BoboVR S3 PRO,1,5271,7751,Эрика,Ярослав Е,2026-02-18,400,,AVITO-20260212-003,Крепление BoboVR S3 PRO,Avito
AVITO-20260212-004,2026-02-12,СДЭК,Крепление BoboVR S3 PRO,1,5271,7452,Эрика,Ярослав Е,2026-03-07,400,,AVITO-20260212-004,Крепление BoboVR S3 PRO,Avito
AVITO-20260214-001,2026-02-14,Почта России,Крепление BoboVR S3 PRO,1,5271,7432,Эрика,Ярослав Е,2026-02-19,400,,AVITO-20260214-001,Крепление BoboVR S3 PRO,Avito
AVITO-20260214-002,2026-02-14,СДЭК,Кейс BoboVR C3,1,2762,4790,Ярослав Е,Ярослав Е,2026-02-22,400,,AVITO-20260214-002,Кейс BoboVR C3,Avito
AVITO-20260215-001,2026-02-15,Авито,Крепление BoboVR S3 PRO,1,5271,7751,Эрика,Ярослав Е,2026-02-22,400,,AVITO-20260215-001,Крепление BoboVR S3 PRO,Avito
AVITO-20260215-002,2026-02-15,СДЭК,Аккумулятор B100,1,2410,3930,Эрика,Ярослав Е,2026-02-22,400,,AVITO-20260215-002,Аккумулятор B100,Avito
AVITO-20260215-003,2026-02-15,5Post,Крепление BoboVR S3 PRO,1,5271,7233,Эрика,Ярослав Е,2026-02-22,400,,AVITO-20260215-003,Крепление BoboVR S3 PRO,Avito
AVITO-20260216-001,2026-02-16,Почта России,"Кейс ""Народный"" Q3",1,539,1045,Эрика,Ярослав Е,2026-02-25,400,,AVITO-20260216-001,"Кейс ""Народный"" Q3",Avito
AVITO-20260216-002,2026-02-16,Самовывоз,Крепление BoboVR S3 PRO,1,5271,7790,Эрика,Саша МСК,2026-02-16,400,,AVITO-20260216-002,Крепление BoboVR S3 PRO,Avito
AVITO-20260216-003,2026-02-16,Авито,Крепление BoboVR S3 PRO,1,5271,7751,Эрика,Ярослав Е,2026-02-26,400,,AVITO-20260216-003,Крепление BoboVR S3 PRO,Avito
AVITO-20260218-001,2026-02-18,Авито,Крепление BoboVR S3 PRO,1,5271,7134,Эрика,Ярослав Е,2026-02-26,400,,AVITO-20260218-001,Крепление BoboVR S3 PRO,Avito
AVITO-20260218-002,2026-02-18,Почта России,Крепление BoboVR S3 PRO,1,5271,7134,Эрика,Ярослав Е,2026-02-27,400,,AVITO-20260218-002,Крепление BoboVR S3 PRO,Avito
AVITO-20260218-003,2026-02-18,Почта России,Зарядная станция BD3,1,2639,4079,Эрика,Ярослав Е,,0,,AVITO-20260218-003,Зарядная станция BD3,Avito
AVITO-20260218-004,2026-02-18,Почта России,Аккумулятор B100,1,2410,3971,Эрика,Ярослав Е,,0,,AVITO-20260218-004,Аккумулятор B100,Avito
AVITO-20260219-001,2026-02-19,Почта России,Аккумулятор B100,1,2410,3930,Эрика,Ярослав Е,2026-03-08,400,,AVITO-20260219-001,Аккумулятор B100,Avito
AVITO-20260219-002,2026-02-19,Авито,Крепление BoboVR S3 PRO,1,5271,7134,Эрика,Ярослав Е,2026-02-22,400,,AVITO-20260219-002,Крепление BoboVR S3 PRO,Avito
